,grapheme,entropy_H,total_freq_sum,n_pronunciations,top_phoneme,top_phoneme_freq,top_phoneme_pct,variants,weight
4,д,1.5998,7201055,5,d,4151925,57.66,"d (57.7%), d' (20.4%), t (16.9%), t' (4.6%), - (0.5%)",0.03343990431644524
7,з,1.5617,5352785,4,s,2564107,47.9,"s (47.9%), z (36.6%), z' (12.6%), s' (2.8%)",0.024856999179495687
2,в,1.4817,7692529,5,v,3796022,49.35,"v (49.3%), f (37.7%), v' (11.7%), f' (1.1%), - (0.2%)",0.03572218705612999
3,г,1.2415,1587011,4,g,828833,52.23,"g (52.2%), k (42.8%), h (4.8%), g' (0.2%)",0.00736968346848428
17,с,1.1149,7816297,6,s',4256645,54.46,"s' (54.5%), s (44.0%), - (0.8%), c (0.4%), z (0.3%), sc (0.1%)",0.036296934794820754
1,б,1.0777,3643114,4,b,2723868,74.77,"b (74.8%), p (13.0%), b' (12.1%), p' (0.1%)",0.016917713248114627
13,н,0.9984,23912449,3,n,12998641,54.36,"n (54.4%), n' (45.6%), - (0.0%)",0.11104345217914272
11,л,0.9938,5216304,2,l',2849550,54.63,"l' (54.6%), l (45.4%)",0.024223215437944933
16,р,0.9545,3437691,2,r,2148329,62.49,"r (62.5%), r' (37.5%)",0.015963780044660807
31,я,0.9504,5108056,2,ja,3220076,63.04,"ja (63.0%), a (37.0%)",0.02372053871037563
23,ч,0.7651,5718165,3,sh,4559331,79.73,"sh (79.7%), ch (19.7%), sc (0.6%)",0.026553732816322895
18,т,0.6664,17813279,2,t,14717082,82.62,"t (82.6%), t' (17.4%)",0.08272042712104591
20,ф,0.5662,148271,2,f,128516,86.68,"f (86.7%), f' (13.3%)",0.0006885335624993354
6,ж,0.5223,2176750,2,zh,1920834,88.24,"zh (88.2%), sh (11.8%)",0.010108284372334632
30,ю,0.52,174373,2,u,154013,88.32,"u (88.3%), ju (11.7%)",0.0008097447437037358
15,п,0.3581,4224088,3,p,3954767,93.62,"p (93.6%), p' (6.1%), - (0.3%)",0.019615611676934076
5,е,0.2894,16318788,2,e,15491471,94.93,"e (94.9%), je (5.1%)",0.07578038346886043
12,м,0.2526,6356182,2,m,6087567,95.77,"m (95.8%), m' (4.2%)",0.02951652471726872
8,и,0.1307,21377975,3,i,20998182,98.22,"i (98.2%), y (1.8%), ji (0.0%)",0.09927398672546707
32,ё,0.056,1774988,2,o,1763598,99.36,"o (99.4%), jo (0.6%)",0.00824260179693649
10,к,0.0346,7442552,2,k,7415539,99.64,"k (99.6%), k' (0.4%)",0.03456135618324928
0,а,-0.0,19730799,1,a,19730799,100.0,a (100.0%),0.09162491199511923
9,й,-0.0,1438436,1,j,1438436,100.0,j (100.0%),0.006679738205767102
14,о,-0.0,22741223,1,o,22741223,100.0,o (100.0%),0.1056045706023553
19,у,-0.0,3763566,1,u,3763566,100.0,u (100.0%),0.01747706230942918
24,ш,-0.0,622606,1,sh,622606,100.0,sh (100.0%),0.0028912270586524754
22,ц,-0.0,164599,1,c,164599,100.0,c (100.0%),0.000764356724199797
21,х,-0.0,2262536,1,h,2262536,100.0,h (100.0%),0.010506653171307917
25,щ,-0.0,31043,1,sc,31043,100.0,sc (100.0%),0.00014415595349506557
28,ь,-0.0,5086485,1,-,5086485,100.0,- (100.0%),0.02362036836366809
27,ы,-0.0,4950917,1,y,4950917,100.0,y (100.0%),0.022990824366521584
26,ъ,-0.0,15723,1,-,15723,100.0,- (100.0%),7.301369251692542e-05
29,э,-0.0,42535,1,e,42535,100.0,e (100.0%),0.00019752193673010387
