,phoneme_real,entropy_H,total_freq_sum,n_realizations,top_grapheme,top_grapheme_freq,top_grapheme_pct,variants,weight
16,j,1.9857,18077,6,й,7751,42.88,"й (42.9%), е (23.3%), я (16.0%), ю (15.6%), ё (2.0%), и (0.2%)",0.02713889372639215
0,-,1.5163,20879,17,ь,15372,73.62,"ь (73.6%), т (10.6%), н (5.1%), с (3.4%), д (3.0%), ъ (1.6%), в (0.9%), ж (0.6%), л (0.5%), й (0.2%), п (0.1%), м (0.1%), к (0.1%), р (0.1%), з (0.1%), г (0.0%), ш (0.0%)",0.031345519838100445
39,y,1.3456,17617,5,ы,11095,62.98,"ы (63.0%), е (21.8%), и (14.8%), э (0.3%), а (0.2%)",0.026448298433249463
1,a,1.3278,112904,3,а,55690,49.33,"а (49.3%), о (42.3%), я (8.4%)",0.16950211081952643
4,c,1.3138,4824,4,ц,2429,50.35,"ц (50.4%), с (43.4%), т (5.0%), д (1.2%)",0.0072422428133050686
15,i,1.2828,67592,5,и,37857,56.01,"и (56.0%), е (38.1%), я (5.0%), а (0.6%), э (0.2%)",0.10147547185674051
33,sh,0.8846,7700,5,ш,6192,80.42,"ш (80.4%), ч (15.1%), ж (4.1%), с (0.3%), з (0.0%)",0.011559964689562403
32,sc,0.8539,1881,3,щ,1364,72.51,"щ (72.5%), ч (27.4%), с (0.1%)",0.002823934231307387
36,u,0.7534,22535,2,у,17660,78.37,"у (78.4%), ю (21.6%)",0.033831662893414126
41,z',0.697,1421,2,з,1154,81.21,"з (81.2%), с (18.8%)",0.002133338938164698
10,f',0.632,547,2,ф,460,84.1,"ф (84.1%), в (15.9%)",0.0008212078811935889
25,o,0.6199,27711,3,о,24377,87.97,"о (88.0%), е (9.5%), ё (2.5%)",0.0416023612353849
9,f,0.5675,4360,2,в,3777,86.63,"в (86.6%), ф (13.4%)",0.00654564234370027
8,e,0.5337,21324,2,е,18733,87.85,"е (87.8%), э (12.2%)",0.03201359571951022
37,v,0.4364,16880,2,в,15361,91.0,"в (91.0%), г (9.0%)",0.02534184467010563
26,p,0.2316,15255,2,п,14680,96.23,"п (96.2%), б (3.8%)",0.022902241732373305
30,s,0.209,19931,2,с,19274,96.7,"с (96.7%), з (3.3%)",0.029922293016580292
17,k,0.2078,20786,2,к,20106,96.73,"к (96.7%), г (3.3%)",0.03120589948535638
35,t',0.2055,13773,2,т,13329,96.78,"т (96.8%), д (3.2%)",0.020677323853161424
34,t,0.2054,31246,2,т,30239,96.78,"т (96.8%), д (3.2%)",0.04690943593377491
40,z,0.1411,9226,2,з,9042,98.01,"з (98.0%), с (2.0%)",0.013850939509857498
13,h,0.137,5464,2,х,5359,98.08,"х (98.1%), г (1.9%)",0.008203071047242723
42,zh,0.1182,6747,4,ж,6651,98.58,"ж (98.6%), з (1.2%), ш (0.1%), с (0.1%)",0.010129231397464614
7,d',0.09,7541,2,д,7455,98.86,"д (98.9%), т (1.1%)",0.011321258925193516
31,s',0.0672,10888,2,с,10801,99.2,"с (99.2%), з (0.8%)",0.016346090329864345
6,d,0.0601,13451,2,д,13357,99.3,"д (99.3%), т (0.7%)",0.020193907147961543
5,ch,0.0464,8529,3,ч,8489,99.53,"ч (99.5%), д (0.4%), т (0.1%)",0.012804537511334771
11,g,0.0327,5908,2,г,5888,99.66,"г (99.7%), к (0.3%)",0.00886964563453697
2,b,-0.0,7955,1,б,7955,100.0,б (100.0%),0.011942794689021936
3,b',-0.0,1928,1,б,1928,100.0,б (100.0%),0.0028944950547371835
23,n,-0.0,24417,1,н,24417,100.0,н (100.0%),0.03665709841883704
20,l',-0.0,14592,1,л,14592,100.0,л (100.0%),0.021906883733778516
19,l,-0.0,21518,1,л,21518,100.0,л (100.0%),0.03230484677792257
14,h',-0.0,179,1,х,179,100.0,х (100.0%),0.0002687316466794377
18,k',-0.0,2504,1,к,2504,100.0,к (100.0%),0.0037592404652810724
12,g',-0.0,762,1,г,762,100.0,г (100.0%),0.0011439861160320195
24,n',-0.0,13148,1,н,13148,100.0,н (100.0%),0.019739015030956684
21,m,-0.0,18514,1,м,18514,100.0,м (100.0%),0.027794959254877703
22,m',-0.0,7061,1,м,7061,100.0,м (100.0%),0.010600637749740276
28,r,-0.0,19963,1,р,19963,100.0,р (100.0%),0.029970334428277175
27,p',-0.0,2521,1,п,2521,100.0,п (100.0%),0.0037847624652450414
29,r',-0.0,9550,1,р,9550,100.0,р (100.0%),0.014337358803288435
38,v',-0.0,6483,1,в,6483,100.0,в (100.0%),0.009732889750965331
